Sailing ID,Departure Port,Arrival Port,Sail Date,Sail Time,Ship Code,Total Meter,Total Head
S000138,Trelleborg,Swinoujscie,2025-01-30,10:00,SHIP_02,2000,220
S000139,Trelleborg,Swinoujscie,2024-09-16,06:00,SHIP_06,2100,230
S000140,Rostock,Trelleborg,2025-09-17,22:00,SHIP_07,1900,200
S000141,Travemünde,Klaipeda,2024-01-19,06:00,SHIP_05,2600,300
S000142,Travemünde,Trelleborg,2024-08-02,22:00,SHIP_01,1800,180
S000143,Travemünde,Klaipeda,2025-12-30,10:00,SHIP_08,2300,260
S000144,Swinoujscie,Trelleborg,2025-10-14,22:00,SHIP_01,1800,180
S000145,Trelleborg,Swinoujscie,2024-10-31,08:00,SHIP_06,2100,230
S000146,Rostock,Klaipeda,2024-02-22,18:00,SHIP_08,2300,260
S000147,Trelleborg,Travemünde,2024-02-15,08:00,SHIP_07,1900,200
S000148,Trelleborg,Swinoujscie,2024-06-22,10:00,SHIP_04,2400,280
S000149,Rostock,Trelleborg,2024-01-26,22:00,SHIP_03,2200,250
S000150,Travemünde,Klaipeda,2024-01-03,18:00,SHIP_01,1800,180
S000151,Klaipeda,Travemünde,2025-09-07,08:00,SHIP_08,2300,260
S000152,Rostock,Trelleborg,2025-11-16,14:00,SHIP_04,2400,280
S000153,Klaipeda,Rostock,2025-09-04,08:00,SHIP_06,2100,230
S000154,Travemünde,Klaipeda,2024-08-09,08:00,SHIP_05,2600,300
S000155,Rostock,Klaipeda,2024-06-07,06:00,SHIP_06,2100,230
S000156,Trelleborg,Travemünde,2025-11-21,10:00,SHIP_06,2100,230
S000157,Trelleborg,Swinoujscie,2025-09-17,22:00,SHIP_03,2200,250
S000158,Travemünde,Klaipeda,2024-07-09,10:00,SHIP_06,2100,230
S000159,Trelleborg,Swinoujscie,2025-04-06,22:00,SHIP_02,2000,220
S000160,Klaipeda,Rostock,2025-07-01,10:00,SHIP_01,1800,180
S000161,Trelleborg,Swinoujscie,2025-07-23,08:00,SHIP_05,2600,300
S000162,Rostock,Trelleborg,2025-09-08,14:00,SHIP_01,1800,180
S000163,Trelleborg,Rostock,2024-12-20,14:00,SHIP_01,1800,180
S000164,Klaipeda,Rostock,2024-04-04,10:00,SHIP_03,2200,250
S000165,Trelleborg,Travemünde,2024-04-20,06:00,SHIP_02,2000,220
S000166,Klaipeda,Travemünde,2024-03-01,18:00,SHIP_02,2000,220
S000167,Klaipeda,Rostock,2024-12-21,18:00,SHIP_01,1800,180
S000168,Swinoujscie,Trelleborg,2025-05-18,14:00,SHIP_02,2000,220
S000169,Travemünde,Klaipeda,2024-04-16,06:00,SHIP_06,2100,230
S000170,Rostock,Klaipeda,2025-08-16,14:00,SHIP_02,2000,220
S000171,Rostock,Klaipeda,2025-10-25,22:00,SHIP_07,1900,200
S000172,Travemünde,Klaipeda,2025-06-14,06:00,SHIP_02,2000,220
S000173,Travemünde,Klaipeda,2024-05-26,06:00,SHIP_08,2300,260
S000174,Rostock,Trelleborg,2025-02-01,10:00,SHIP_08,2300,260
S000175,Klaipeda,Travemünde,2024-09-30,10:00,SHIP_01,1800,180
S000176,Trelleborg,Rostock,2025-11-09,22:00,SHIP_05,2600,300
S000177,Rostock,Trelleborg,2024-12-28,22:00,SHIP_06,2100,230
S000178,Swinoujscie,Trelleborg,2024-08-08,06:00,SHIP_04,2400,280
S000179,Swinoujscie,Trelleborg,2025-06-11,18:00,SHIP_07,1900,200
S000180,Klaipeda,Travemünde,2025-06-16,06:00,SHIP_07,1900,200
S000181,Rostock,Klaipeda,2024-10-17,18:00,SHIP_06,2100,230
S000182,Trelleborg,Rostock,2024-06-03,06:00,SHIP_07,1900,200
S000183,Rostock,Klaipeda,2024-09-27,08:00,SHIP_01,1800,180
S000184,Klaipeda,Travemünde,2025-02-06,06:00,SHIP_04,2400,280
S000185,Klaipeda,Travemünde,2024-10-20,06:00,SHIP_04,2400,280
S000186,Trelleborg,Rostock,2025-09-04,06:00,SHIP_06,2100,230
S000187,Travemünde,Klaipeda,2025-07-14,18:00,SHIP_07,1900,200
S000188,Klaipeda,Rostock,2024-04-21,14:00,SHIP_06,2100,230
S000189,Swinoujscie,Trelleborg,2025-08-11,22:00,SHIP_03,2200,250
S000190,Travemünde,Trelleborg,2024-02-18,18:00,SHIP_07,1900,200
S000191,Trelleborg,Travemünde,2025-07-02,06:00,SHIP_04,2400,280
S000192,Travemünde,Klaipeda,2024-09-13,10:00,SHIP_05,2600,300
S000193,Travemünde,Klaipeda,2024-01-28,08:00,SHIP_06,2100,230
S000194,Klaipeda,Travemünde,2025-02-26,14:00,SHIP_01,1800,180
S000195,Travemünde,Trelleborg,2025-05-12,06:00,SHIP_05,2600,300
S000196,Travemünde,Klaipeda,2024-03-19,14:00,SHIP_02,2000,220
S000197,Trelleborg,Travemünde,2024-09-14,06:00,SHIP_01,1800,180
S000198,Rostock,Klaipeda,2024-02-19,06:00,SHIP_08,2300,260
S000199,Travemünde,Klaipeda,2025-10-04,08:00,SHIP_01,1800,180
S000200,Klaipeda,Travemünde,2025-03-17,14:00,SHIP_05,2600,300
S000201,Klaipeda,Rostock,2024-03-01,14:00,SHIP_06,2100,230
S000202,Trelleborg,Rostock,2024-04-07,14:00,SHIP_01,1800,180
S000203,Rostock,Trelleborg,2025-10-16,08:00,SHIP_04,2400,280
S000204,Travemünde,Trelleborg,2025-06-25,22:00,SHIP_07,1900,200
S000205,Trelleborg,Rostock,2024-02-08,18:00,SHIP_04,2400,280
S000206,Trelleborg,Rostock,2025-08-24,06:00,SHIP_01,1800,180
S000207,Swinoujscie,Trelleborg,2025-07-14,10:00,SHIP_07,1900,200
S000208,Trelleborg,Rostock,2025-12-13,10:00,SHIP_05,2600,300
S000209,Trelleborg,Travemünde,2024-09-08,22:00,SHIP_08,2300,260
S000210,Swinoujscie,Trelleborg,2025-09-21,08:00,SHIP_02,2000,220
S000211,Rostock,Klaipeda,2024-08-13,10:00,SHIP_04,2400,280
S000212,Rostock,Klaipeda,2025-03-19,08:00,SHIP_07,1900,200
S000213,Swinoujscie,Trelleborg,2025-03-03,10:00,SHIP_04,2400,280
S000214,Klaipeda,Travemünde,2025-11-02,22:00,SHIP_01,1800,180
S000215,Swinoujscie,Trelleborg,2024-07-08,10:00,SHIP_08,2300,260
S000216,Klaipeda,Rostock,2025-12-21,06:00,SHIP_02,2000,220
S000217,Rostock,Klaipeda,2024-03-08,08:00,SHIP_06,2100,230
S000218,Travemünde,Klaipeda,2024-11-27,08:00,SHIP_07,1900,200
S000219,Swinoujscie,Trelleborg,2024-10-22,10:00,SHIP_08,2300,260
S000220,Swinoujscie,Trelleborg,2025-06-27,06:00,SHIP_02,2000,220
S000221,Trelleborg,Swinoujscie,2024-08-21,08:00,SHIP_06,2100,230
S000222,Rostock,Trelleborg,2025-01-22,22:00,SHIP_08,2300,260
S000223,Trelleborg,Swinoujscie,2025-11-25,22:00,SHIP_03,2200,250
S000224,Rostock,Trelleborg,2025-10-17,10:00,SHIP_03,2200,250
S000225,Trelleborg,Rostock,2025-04-08,22:00,SHIP_08,2300,260
S000226,Trelleborg,Swinoujscie,2025-12-27,18:00,SHIP_01,1800,180
S000227,Travemünde,Trelleborg,2024-06-24,14:00,SHIP_01,1800,180
S000228,Trelleborg,Travemünde,2025-11-16,08:00,SHIP_01,1800,180
S000229,Trelleborg,Travemünde,2025-07-06,08:00,SHIP_02,2000,220
S000230,Trelleborg,Rostock,2024-12-18,22:00,SHIP_01,1800,180
S000231,Rostock,Trelleborg,2024-02-12,06:00,SHIP_05,2600,300
S000232,Trelleborg,Travemünde,2025-11-07,14:00,SHIP_03,2200,250
S000233,Travemünde,Klaipeda,2025-05-19,06:00,SHIP_05,2600,300
S000234,Rostock,Klaipeda,2025-11-22,08:00,SHIP_05,2600,300
S000235,Rostock,Klaipeda,2025-04-19,10:00,SHIP_05,2600,300
S000236,Travemünde,Trelleborg,2024-10-25,08:00,SHIP_03,2200,250
S000237,Klaipeda,Rostock,2025-07-13,22:00,SHIP_07,1900,200
S000238,Trelleborg,Swinoujscie,2025-08-03,08:00,SHIP_01,1800,180
S000239,Travemünde,Trelleborg,2024-05-26,08:00,SHIP_07,1900,200
S000240,Rostock,Klaipeda,2025-03-28,10:00,SHIP_06,2100,230
S000241,Swinoujscie,Trelleborg,2024-05-08,08:00,SHIP_08,2300,260
S000242,Trelleborg,Travemünde,2024-12-21,06:00,SHIP_08,2300,260
S000243,Klaipeda,Rostock,2024-05-16,08:00,SHIP_02,2000,220
S000244,Klaipeda,Rostock,2025-08-22,10:00,SHIP_06,2100,230
S000245,Trelleborg,Rostock,2024-12-21,06:00,SHIP_05,2600,300
S000246,Travemünde,Trelleborg,2025-05-14,22:00,SHIP_02,2000,220
S000247,Klaipeda,Travemünde,2025-06-06,18:00,SHIP_02,2000,220
S000248,Rostock,Klaipeda,2024-07-09,10:00,SHIP_05,2600,300
S000249,Trelleborg,Swinoujscie,2025-06-21,14:00,SHIP_02,2000,220
S000250,Swinoujscie,Trelleborg,2024-05-11,06:00,SHIP_07,1900,200
S000251,Travemünde,Klaipeda,2025-04-04,14:00,SHIP_06,2100,230
S000252,Rostock,Trelleborg,2024-09-09,06:00,SHIP_06,2100,230
S000253,Rostock,Klaipeda,2024-11-07,08:00,SHIP_05,2600,300
S000254,Rostock,Klaipeda,2024-03-29,14:00,SHIP_02,2000,220
S000255,Klaipeda,Rostock,2024-11-04,10:00,SHIP_03,2200,250
S000256,Trelleborg,Travemünde,2024-08-19,06:00,SHIP_08,2300,260
S000257,Trelleborg,Swinoujscie,2025-02-10,10:00,SHIP_07,1900,200
S000258,Swinoujscie,Trelleborg,2025-12-06,08:00,SHIP_06,2100,230
S000259,Klaipeda,Rostock,2024-03-27,10:00,SHIP_02,2000,220
S000260,Klaipeda,Travemünde,2025-08-26,18:00,SHIP_07,1900,200
S000261,Travemünde,Trelleborg,2024-03-27,22:00,SHIP_01,1800,180
S000262,Trelleborg,Rostock,2024-11-15,08:00,SHIP_06,2100,230
S000263,Trelleborg,Rostock,2025-06-11,08:00,SHIP_06,2100,230
S000264,Travemünde,Klaipeda,2024-07-31,08:00,SHIP_03,2200,250
S000265,Trelleborg,Travemünde,2024-09-17,18:00,SHIP_08,2300,260
S000266,Rostock,Klaipeda,2025-09-07,06:00,SHIP_03,2200,250
S000267,Rostock,Trelleborg,2025-11-01,14:00,SHIP_06,2100,230
S000268,Klaipeda,Rostock,2024-07-27,18:00,SHIP_05,2600,300
S000269,Travemünde,Klaipeda,2025-09-16,22:00,SHIP_08,2300,260
S000270,Trelleborg,Rostock,2024-07-18,06:00,SHIP_03,2200,250
S000271,Swinoujscie,Trelleborg,2025-04-25,06:00,SHIP_08,2300,260
S000272,Trelleborg,Swinoujscie,2025-05-17,08:00,SHIP_07,1900,200
S000273,Klaipeda,Rostock,2025-06-26,06:00,SHIP_04,2400,280
S000274,Trelleborg,Swinoujscie,2025-06-21,22:00,SHIP_07,1900,200
S000275,Rostock,Klaipeda,2024-07-25,18:00,SHIP_08,2300,260
S000276,Travemünde,Klaipeda,2025-03-07,08:00,SHIP_03,2200,250
S000277,Rostock,Trelleborg,2024-02-02,18:00,SHIP_04,2400,280
S000278,Swinoujscie,Trelleborg,2024-08-09,10:00,SHIP_02,2000,220
S000279,Rostock,Klaipeda,2024-02-08,18:00,SHIP_04,2400,280
S000280,Klaipeda,Travemünde,2025-04-01,08:00,SHIP_05,2600,300
S000281,Klaipeda,Travemünde,2025-05-12,06:00,SHIP_08,2300,260
S000282,Rostock,Trelleborg,2025-09-29,08:00,SHIP_06,2100,230
S000283,Trelleborg,Swinoujscie,2024-06-23,18:00,SHIP_08,2300,260
S000284,Travemünde,Klaipeda,2024-05-25,22:00,SHIP_06,2100,230
S000285,Swinoujscie,Trelleborg,2024-05-14,08:00,SHIP_07,1900,200
S000286,Swinoujscie,Trelleborg,2025-11-21,10:00,SHIP_07,1900,200
S000287,Travemünde,Klaipeda,2024-05-13,14:00,SHIP_04,2400,280
S000288,Trelleborg,Rostock,2025-10-01,06:00,SHIP_05,2600,300
S000289,Klaipeda,Rostock,2025-12-01,08:00,SHIP_08,2300,260
S000290,Trelleborg,Travemünde,2024-10-24,06:00,SHIP_08,2300,260
S000291,Travemünde,Trelleborg,2024-08-11,14:00,SHIP_02,2000,220
S000292,Rostock,Trelleborg,2024-01-28,08:00,SHIP_03,2200,250
S000293,Travemünde,Klaipeda,2025-05-31,18:00,SHIP_03,2200,250
S000294,Trelleborg,Swinoujscie,2024-10-24,22:00,SHIP_03,2200,250
S000295,Swinoujscie,Trelleborg,2025-12-15,22:00,SHIP_06,2100,230
S000296,Trelleborg,Swinoujscie,2024-02-09,06:00,SHIP_05,2600,300
S000297,Swinoujscie,Trelleborg,2024-01-12,18:00,SHIP_04,2400,280
S000298,Trelleborg,Rostock,2025-02-13,18:00,SHIP_07,1900,200
S000299,Rostock,Klaipeda,2025-12-09,22:00,SHIP_08,2300,260
S000300,Trelleborg,Travemünde,2025-04-09,22:00,SHIP_05,2600,300
S000301,Swinoujscie,Trelleborg,2025-07-10,18:00,SHIP_08,2300,260
S000302,Travemünde,Trelleborg,2024-07-16,08:00,SHIP_02,2000,220
S000303,Swinoujscie,Trelleborg,2025-06-10,10:00,SHIP_08,2300,260
S000304,Klaipeda,Travemünde,2025-01-14,10:00,SHIP_07,1900,200
S000305,Swinoujscie,Trelleborg,2025-06-05,08:00,SHIP_08,2300,260
S000306,Travemünde,Trelleborg,2024-06-30,22:00,SHIP_02,2000,220
S000307,Swinoujscie,Trelleborg,2025-11-16,10:00,SHIP_04,2400,280
S000308,Swinoujscie,Trelleborg,2025-05-26,18:00,SHIP_05,2600,300
S000309,Rostock,Klaipeda,2024-01-08,22:00,SHIP_08,2300,260
S000310,Swinoujscie,Trelleborg,2025-06-12,06:00,SHIP_01,1800,180
S000311,Travemünde,Trelleborg,2025-01-25,10:00,SHIP_02,2000,220
S000312,Trelleborg,Rostock,2025-02-28,10:00,SHIP_06,2100,230
S000313,Travemünde,Klaipeda,2024-11-26,22:00,SHIP_05,2600,300
S000314,Trelleborg,Travemünde,2025-11-04,08:00,SHIP_01,1800,180
S000315,Trelleborg,Travemünde,2025-11-10,10:00,SHIP_03,2200,250
S000316,Swinoujscie,Trelleborg,2024-09-15,10:00,SHIP_06,2100,230
S000317,Rostock,Trelleborg,2024-08-04,06:00,SHIP_02,2000,220
S000318,Trelleborg,Swinoujscie,2025-01-27,10:00,SHIP_08,2300,260
S000319,Travemünde,Trelleborg,2025-07-12,14:00,SHIP_05,2600,300
S000320,Rostock,Klaipeda,2024-01-26,22:00,SHIP_01,1800,180
S000321,Klaipeda,Rostock,2024-02-09,14:00,SHIP_06,2100,230
S000322,Swinoujscie,Trelleborg,2024-07-20,06:00,SHIP_01,1800,180
S000323,Klaipeda,Rostock,2025-07-19,06:00,SHIP_02,2000,220
S000324,Rostock,Klaipeda,2025-04-18,18:00,SHIP_08,2300,260
S000325,Klaipeda,Rostock,2025-11-16,06:00,SHIP_06,2100,230
S000326,Travemünde,Klaipeda,2024-05-09,10:00,SHIP_07,1900,200
S000327,Swinoujscie,Trelleborg,2025-11-13,14:00,SHIP_01,1800,180
S000328,Rostock,Klaipeda,2024-11-26,22:00,SHIP_04,2400,280
S000329,Trelleborg,Rostock,2024-10-09,10:00,SHIP_04,2400,280
S000330,Travemünde,Klaipeda,2025-06-15,14:00,SHIP_06,2100,230
S000331,Rostock,Trelleborg,2024-05-27,22:00,SHIP_08,2300,260
S000332,Swinoujscie,Trelleborg,2025-10-24,14:00,SHIP_07,1900,200
S000333,Rostock,Klaipeda,2024-10-06,14:00,SHIP_02,2000,220
S000334,Rostock,Trelleborg,2024-11-27,18:00,SHIP_07,1900,200
S000335,Trelleborg,Travemünde,2025-01-25,18:00,SHIP_08,2300,260
S000336,Rostock,Klaipeda,2025-03-01,18:00,SHIP_05,2600,300
S000337,Travemünde,Klaipeda,2025-12-20,08:00,SHIP_02,2000,220
S000338,Rostock,Trelleborg,2025-03-10,10:00,SHIP_06,2100,230
S000339,Travemünde,Trelleborg,2025-02-21,10:00,SHIP_03,2200,250
S000340,Klaipeda,Rostock,2025-12-14,18:00,SHIP_01,1800,180
S000341,Klaipeda,Travemünde,2024-10-03,22:00,SHIP_05,2600,300
S000342,Travemünde,Klaipeda,2025-08-31,18:00,SHIP_02,2000,220
S000343,Rostock,Klaipeda,2024-01-21,14:00,SHIP_02,2000,220
S000344,Klaipeda,Travemünde,2025-10-15,10:00,SHIP_03,2200,250
S000345,Rostock,Klaipeda,2024-02-06,06:00,SHIP_06,2100,230
S000346,Rostock,Trelleborg,2024-06-09,22:00,SHIP_02,2000,220
S000347,Rostock,Klaipeda,2025-04-06,14:00,SHIP_04,2400,280
