Departure_Port,Arrival_Port,Sail_Date,Sail_Time,Ship_Code,Total_Bookings,Loaded_Bookings,NoShow_Count,Booked_Count,CheckedIn_Count,Cancelled_Count,Total_Reserved_Meter,Total_Loaded_Meter,Total_Reserved_Heads,Total_Loaded_Heads,Total_Meter,Total_Head,NoShow_Rate,Capacity_Utilization_Rate,Reservation_Ratio,Overbooked_Flag,Overbooked_Meter,Unused_Capacity_Meter,Voyage_Risk_Category
Rostock,Trelleborg,2025-06-13,06:00,SHIP_05,297,173,76,15,22,11,4319.1,2411.0,341,224,2400,280,0.2558922558922559,1.0045833333333334,1.7996250000000005,True,1919.1000000000004,0.0,Overbooked
Rostock,Klaipeda,2024-05-18,18:00,SHIP_03,267,163,64,14,17,9,3715.4,2165.4,301,204,2100,230,0.2397003745318352,1.0311428571428571,1.7692380952380953,True,1615.4,0.0,Overbooked
Klaipeda,Rostock,2024-03-07,10:00,SHIP_05,311,180,82,20,19,10,4206.5,2392.7,368,226,2400,280,0.2636655948553054,0.9969583333333332,1.752708333333333,True,1806.5,7.300000000000182,Overbooked
Rostock,Klaipeda,2024-03-05,18:00,SHIP_04,274,154,83,20,11,6,3810.6,2056.9,317,187,2200,250,0.3029197080291971,0.9349545454545456,1.7320909090909091,True,1610.6,143.0999999999999,Overbooked
Trelleborg,Rostock,2025-11-20,06:00,SHIP_05,291,181,75,9,15,11,4113.4,2524.1,342,231,2400,280,0.2577319587628865,1.0517083333333332,1.7139166666666663,True,1713.3999999999996,0.0,Overbooked
Rostock,Trelleborg,2024-07-07,18:00,SHIP_02,240,134,70,11,15,10,3323.1,1842.3,276,168,2000,220,0.2916666666666667,0.92115,1.66155,True,1323.1,157.70000000000005,Overbooked
Swinoujscie,Trelleborg,2024-03-31,08:00,SHIP_04,267,159,75,5,18,10,3633.1,2105.4,315,211,2200,250,0.2808988764044944,0.957,1.6514090909090908,True,1433.1,94.59999999999992,Overbooked
Rostock,Klaipeda,2025-06-23,14:00,SHIP_02,238,135,61,11,23,8,3302.4,1875.3,275,184,2000,220,0.2563025210084033,0.93765,1.6512,True,1302.4,124.70000000000005,Overbooked
Trelleborg,Rostock,2025-10-15,06:00,SHIP_01,203,117,61,5,13,7,2922.8,1692.0,236,151,1800,180,0.3004926108374384,0.94,1.623777777777778,True,1122.8000000000002,108.0,Overbooked
Trelleborg,Rostock,2024-06-08,10:00,SHIP_01,203,128,48,8,13,6,2898.4,1772.4,247,176,1800,180,0.2364532019704433,0.9846666666666668,1.6102222222222222,True,1098.4,27.59999999999991,Overbooked
Rostock,Klaipeda,2024-07-09,10:00,SHIP_03,180,96,55,8,15,6,2529.2,1272.2,205,128,2100,230,0.3055555555555556,0.6058095238095238,1.2043809523809523,True,429.1999999999998,827.8,Overbooked
Swinoujscie,Trelleborg,2024-12-30,18:00,SHIP_01,154,98,38,9,6,3,2163.5,1290.8,174,119,1800,180,0.2467532467532467,0.717111111111111,1.2019444444444445,True,363.5,509.2000000000001,Overbooked
Travemünde,Klaipeda,2025-06-15,06:00,SHIP_02,179,110,44,4,15,6,2403.2,1402.1,207,145,2000,220,0.2458100558659217,0.70105,1.2016,True,403.1999999999998,597.9000000000001,Overbooked
Travemünde,Trelleborg,2025-11-28,22:00,SHIP_05,208,138,40,10,11,9,2883.1,1831.2,238,170,2400,280,0.1923076923076923,0.763,1.2012916666666666,True,483.0999999999999,568.8,Overbooked
Klaipeda,Travemünde,2024-01-07,06:00,SHIP_05,201,134,44,4,11,8,2881.5,1889.0,224,163,2400,280,0.2189054726368159,0.7870833333333334,1.200625,True,481.5,511.0,Overbooked
Trelleborg,Swinoujscie,2024-03-26,18:00,SHIP_04,194,122,54,6,6,6,2641.3,1649.0,215,144,2200,250,0.2783505154639175,0.7495454545454545,1.2005909090909093,True,441.3000000000002,551.0,Overbooked
Rostock,Trelleborg,2025-12-20,18:00,SHIP_05,199,129,51,7,9,3,2879.9,1802.9,236,169,2400,280,0.2562814070351759,0.7512083333333334,1.1999583333333337,True,479.9000000000001,597.0999999999999,Overbooked
Klaipeda,Rostock,2025-11-21,08:00,SHIP_01,154,89,40,8,12,5,2159.6,1167.2,166,111,1800,180,0.2597402597402597,0.6484444444444445,1.1997777777777778,True,359.5999999999999,632.8,Overbooked
Klaipeda,Rostock,2025-12-06,22:00,SHIP_03,181,108,46,10,9,8,2517.9,1450.3,201,132,2100,230,0.2541436464088398,0.6906190476190476,1.199,True,417.9000000000001,649.7,Overbooked
Travemünde,Klaipeda,2024-01-15,06:00,SHIP_05,204,124,56,5,10,9,2876.3,1691.6,238,156,2400,280,0.2745098039215686,0.7048333333333333,1.1984583333333334,True,476.3000000000002,708.4000000000001,Overbooked
Trelleborg,Travemünde,2025-08-28,10:00,SHIP_01,153,100,30,5,12,6,2156.6,1376.0,178,130,1800,180,0.196078431372549,0.7644444444444445,1.1981111111111111,True,356.5999999999999,424.0,Overbooked
Trelleborg,Travemünde,2025-12-24,08:00,SHIP_01,158,92,49,4,9,4,2155.6,1253.5,184,118,1800,180,0.310126582278481,0.6963888888888888,1.1975555555555557,True,355.5999999999999,546.5,Overbooked
Travemünde,Klaipeda,2025-12-31,22:00,SHIP_05,207,120,58,10,15,4,2873.1,1558.8,247,165,2400,280,0.2801932367149758,0.6495,1.197125,True,473.0999999999999,841.2,Overbooked
Rostock,Trelleborg,2025-09-20,14:00,SHIP_03,175,101,46,7,12,9,2510.4,1368.1,200,129,2100,230,0.2628571428571428,0.6514761904761904,1.1954285714285715,True,410.4000000000001,731.9000000000001,Overbooked
Trelleborg,Rostock,2025-05-01,10:00,SHIP_04,191,122,50,6,5,8,2628.7,1654.3,222,146,2200,250,0.2617801047120419,0.7519545454545454,1.1948636363636362,True,428.6999999999998,545.7,Overbooked
Rostock,Klaipeda,2025-12-28,10:00,SHIP_01,156,91,47,6,8,4,2150.4,1216.3,183,118,1800,180,0.3012820512820512,0.6757222222222222,1.1946666666666668,True,350.4000000000001,583.7,Overbooked
Swinoujscie,Trelleborg,2024-10-29,18:00,SHIP_01,151,88,41,3,15,4,2140.7,1237.5,172,113,1800,180,0.271523178807947,0.6875,1.1892777777777777,True,340.6999999999998,562.5,Overbooked
Trelleborg,Travemünde,2024-03-28,06:00,SHIP_01,152,94,36,4,14,4,2140.3,1313.0,177,127,1800,180,0.2368421052631578,0.7294444444444445,1.1890555555555558,True,340.3000000000002,487.0,Overbooked
Rostock,Trelleborg,2024-09-23,10:00,SHIP_04,184,112,44,5,17,6,2614.4,1550.7,213,149,2200,250,0.2391304347826087,0.7048636363636364,1.1883636363636365,True,414.4000000000001,649.3,Overbooked
Travemünde,Trelleborg,2025-07-25,18:00,SHIP_02,178,119,44,6,7,2,2375.0,1550.9,202,142,2000,220,0.247191011235955,0.7754500000000001,1.1875,True,375.0,449.0999999999999,Overbooked
Travemünde,Klaipeda,2024-04-29,18:00,SHIP_04,184,121,35,7,12,9,2612.2,1630.4,213,153,2200,250,0.1902173913043478,0.7410909090909091,1.1873636363636362,True,412.1999999999998,569.5999999999999,Overbooked
Travemünde,Klaipeda,2025-03-11,18:00,SHIP_01,156,99,43,6,7,1,2137.2,1295.8,179,117,1800,180,0.2756410256410256,0.7198888888888889,1.1873333333333331,True,337.1999999999998,504.2000000000001,Overbooked
Trelleborg,Travemünde,2025-06-02,14:00,SHIP_01,155,93,40,5,13,4,2135.9,1231.0,174,117,1800,180,0.2580645161290322,0.6838888888888889,1.186611111111111,True,335.9000000000001,569.0,Overbooked
Swinoujscie,Trelleborg,2025-09-17,10:00,SHIP_02,168,107,42,7,8,4,2373.2,1490.9,198,136,2000,220,0.25,0.7454500000000001,1.1866,True,373.1999999999998,509.0999999999999,Overbooked
Klaipeda,Rostock,2025-02-25,14:00,SHIP_01,155,97,40,6,8,4,2134.7,1326.8,193,132,1800,180,0.2580645161290322,0.737111111111111,1.1859444444444442,True,334.6999999999998,473.2000000000001,Overbooked
Travemünde,Trelleborg,2024-02-20,08:00,SHIP_04,183,112,50,7,8,6,2606.6,1567.6,206,134,2200,250,0.273224043715847,0.7125454545454545,1.1848181818181818,True,406.5999999999999,632.4000000000001,Overbooked
Travemünde,Trelleborg,2024-08-01,18:00,SHIP_03,175,101,49,9,13,3,2487.2,1405.2,204,133,2100,230,0.28,0.6691428571428572,1.1843809523809523,True,387.1999999999998,694.8,Overbooked
Klaipeda,Travemünde,2024-04-14,10:00,SHIP_04,180,112,44,9,8,7,2605.2,1602.2,205,138,2200,250,0.2444444444444444,0.7282727272727273,1.184181818181818,True,405.1999999999998,597.8,Overbooked
Travemünde,Trelleborg,2025-11-01,08:00,SHIP_01,154,92,38,5,14,5,2130.4,1223.6,183,126,1800,180,0.2467532467532467,0.6797777777777777,1.1835555555555557,True,330.4000000000001,576.4000000000001,Overbooked
Klaipeda,Travemünde,2024-09-13,08:00,SHIP_02,165,99,48,3,11,4,2366.2,1374.0,190,129,2000,220,0.2909090909090909,0.687,1.1830999999999998,True,366.1999999999998,626.0,Overbooked
Travemünde,Trelleborg,2024-01-31,22:00,SHIP_05,199,124,52,7,8,8,2839.0,1716.8,227,152,2400,280,0.2613065326633166,0.7153333333333333,1.1829166666666666,True,439.0,683.2,Overbooked
Travemünde,Klaipeda,2024-11-04,22:00,SHIP_05,205,125,60,6,11,3,2833.6,1743.4,240,161,2400,280,0.2926829268292683,0.7264166666666667,1.1806666666666663,True,433.5999999999999,656.5999999999999,Overbooked
Rostock,Klaipeda,2025-12-20,10:00,SHIP_05,202,114,65,9,11,3,2832.5,1536.6,235,146,2400,280,0.3217821782178218,0.64025,1.1802083333333333,True,432.5,863.4000000000001,Overbooked
Trelleborg,Swinoujscie,2025-05-02,10:00,SHIP_03,174,107,47,9,10,1,2477.8,1489.3,201,133,2100,230,0.2701149425287356,0.7091904761904761,1.179904761904762,True,377.8000000000002,610.7,Overbooked
Travemünde,Klaipeda,2025-05-11,22:00,SHIP_05,204,137,41,10,11,5,2831.2,1848.6,237,171,2400,280,0.2009803921568627,0.77025,1.1796666666666666,True,431.1999999999998,551.4000000000001,Overbooked
Trelleborg,Swinoujscie,2025-11-05,10:00,SHIP_01,147,89,40,7,7,4,2117.7,1243.1,162,104,1800,180,0.272108843537415,0.6906111111111111,1.1765,True,317.6999999999998,556.9000000000001,Overbooked
Travemünde,Klaipeda,2025-10-09,14:00,SHIP_02,166,105,39,3,13,6,2346.9,1431.4,197,141,2000,220,0.2349397590361445,0.7157,1.17345,True,346.9000000000001,568.5999999999999,Overbooked
Swinoujscie,Trelleborg,2025-01-03,10:00,SHIP_04,188,116,48,7,12,5,2573.9,1533.8,215,149,2200,250,0.2553191489361702,0.6971818181818181,1.1699545454545457,True,373.9000000000001,666.2,Overbooked
Klaipeda,Travemünde,2025-01-29,08:00,SHIP_04,190,109,58,6,10,7,2573.8,1423.1,218,138,2200,250,0.3052631578947368,0.6468636363636363,1.169909090909091,True,373.8000000000002,776.9000000000001,Overbooked
Swinoujscie,Trelleborg,2025-08-14,14:00,SHIP_05,201,125,51,9,12,4,2806.5,1701.6,240,162,2400,280,0.2537313432835821,0.709,1.169375,True,406.5,698.4000000000001,Overbooked
Klaipeda,Rostock,2024-04-04,18:00,SHIP_04,187,103,55,9,17,3,2572.0,1410.7,212,131,2200,250,0.2941176470588235,0.6412272727272728,1.1690909090909092,True,372.0,789.3,Overbooked
Trelleborg,Swinoujscie,2025-05-25,14:00,SHIP_02,164,99,47,5,8,5,2338.1,1351.1,185,119,2000,220,0.2865853658536585,0.67555,1.16905,True,338.0999999999999,648.9000000000001,Overbooked
Trelleborg,Swinoujscie,2025-03-22,06:00,SHIP_05,200,130,48,5,10,7,2797.4,1798.6,224,156,2400,280,0.24,0.7494166666666666,1.1655833333333334,True,397.4000000000001,601.4000000000001,Overbooked
Klaipeda,Travemünde,2025-05-25,14:00,SHIP_01,149,90,45,6,8,0,2095.3,1256.7,169,112,1800,180,0.3020134228187919,0.6981666666666667,1.1640555555555556,True,295.3000000000002,543.3,Overbooked
Trelleborg,Rostock,2025-10-14,06:00,SHIP_05,193,111,61,6,11,4,2791.8,1589.8,224,142,2400,280,0.3160621761658031,0.6624166666666667,1.16325,True,391.8000000000002,810.2,Overbooked
Klaipeda,Rostock,2024-04-30,22:00,SHIP_02,161,98,38,10,10,5,2325.2,1395.4,189,129,2000,220,0.2360248447204969,0.6977000000000001,1.1626,True,325.1999999999998,604.5999999999999,Overbooked
Trelleborg,Swinoujscie,2024-04-21,08:00,SHIP_05,202,122,52,11,8,9,2790.2,1659.2,230,149,2400,280,0.2574257425742574,0.6913333333333334,1.1625833333333333,True,390.1999999999998,740.8,Overbooked
Swinoujscie,Trelleborg,2025-02-13,14:00,SHIP_04,189,112,54,7,11,5,2557.3,1483.0,213,141,2200,250,0.2857142857142857,0.6740909090909091,1.162409090909091,True,357.3000000000002,717.0,Overbooked
Travemünde,Klaipeda,2025-10-03,14:00,SHIP_02,169,104,48,5,7,5,2324.7,1399.3,196,130,2000,220,0.2840236686390532,0.69965,1.16235,True,324.6999999999998,600.7,Overbooked
Swinoujscie,Trelleborg,2025-10-04,22:00,SHIP_03,177,104,52,5,10,6,2439.3,1396.2,211,128,2100,230,0.2937853107344633,0.6648571428571429,1.1615714285714287,True,339.3000000000002,703.8,Overbooked
Trelleborg,Rostock,2025-02-08,18:00,SHIP_01,146,86,43,3,5,9,2088.4,1186.5,174,109,1800,180,0.2945205479452055,0.6591666666666667,1.1602222222222225,True,288.4000000000001,613.5,Overbooked
Travemünde,Klaipeda,2024-02-26,22:00,SHIP_03,173,109,39,8,12,5,2436.3,1531.6,203,144,2100,230,0.2254335260115607,0.7293333333333333,1.1601428571428571,True,336.3000000000002,568.4000000000001,Overbooked
Klaipeda,Rostock,2024-02-27,06:00,SHIP_05,200,127,49,5,17,2,2782.5,1735.6,231,164,2400,280,0.245,0.7231666666666666,1.159375,True,382.5,664.4000000000001,Overbooked
Travemünde,Trelleborg,2024-03-20,14:00,SHIP_02,171,102,47,9,7,6,2317.4,1289.7,187,120,2000,220,0.2748538011695906,0.64485,1.1587,True,317.4000000000001,710.3,Overbooked
Klaipeda,Rostock,2024-11-11,22:00,SHIP_05,195,122,54,10,6,3,2780.3,1687.1,229,153,2400,280,0.2769230769230769,0.7029583333333332,1.1584583333333334,True,380.3000000000002,712.9000000000001,Overbooked
Trelleborg,Travemünde,2025-11-19,08:00,SHIP_02,163,93,47,5,13,5,2316.0,1316.5,186,122,2000,220,0.2883435582822086,0.65825,1.158,True,316.0,683.5,Overbooked
Rostock,Klaipeda,2025-02-20,10:00,SHIP_03,170,103,42,10,9,6,2431.3,1460.1,199,129,2100,230,0.2470588235294117,0.6952857142857143,1.1577619047619048,True,331.3000000000002,639.9000000000001,Overbooked
Swinoujscie,Trelleborg,2024-07-15,10:00,SHIP_05,201,102,66,7,18,8,2775.5,1409.3,237,143,2400,280,0.3283582089552239,0.5872083333333333,1.1564583333333334,True,375.5,990.7,Overbooked
Rostock,Klaipeda,2024-01-21,14:00,SHIP_05,201,122,55,4,16,4,2774.3,1673.1,229,154,2400,280,0.2736318407960199,0.697125,1.1559583333333334,True,374.3000000000002,726.9000000000001,Overbooked
Rostock,Trelleborg,2024-10-06,10:00,SHIP_04,186,122,50,3,10,1,2542.6,1639.2,217,156,2200,250,0.2688172043010752,0.7450909090909091,1.1557272727272727,True,342.5999999999999,560.8,Overbooked
Rostock,Trelleborg,2024-08-27,18:00,SHIP_04,183,122,42,2,12,5,2540.6,1622.1,214,157,2200,250,0.2295081967213114,0.7373181818181818,1.1548181818181815,True,340.5999999999999,577.9000000000001,Overbooked
Trelleborg,Swinoujscie,2024-09-29,08:00,SHIP_03,178,101,48,5,16,8,2425.0,1345.3,207,138,2100,230,0.2696629213483146,0.6406190476190476,1.1547619047619049,True,325.0,754.7,Overbooked
Trelleborg,Rostock,2024-03-08,14:00,SHIP_03,170,97,50,7,10,6,2424.1,1352.9,200,127,2100,230,0.2941176470588235,0.6442380952380953,1.1543333333333332,True,324.0999999999999,747.0999999999999,Overbooked
Klaipeda,Rostock,2025-07-29,08:00,SHIP_05,195,118,48,11,13,5,2768.2,1615.9,230,154,2400,280,0.2461538461538461,0.6732916666666667,1.1534166666666663,True,368.1999999999998,784.0999999999999,Overbooked
Trelleborg,Rostock,2025-04-27,06:00,SHIP_01,143,78,44,5,7,9,2072.9,1085.8,157,91,1800,180,0.3076923076923077,0.6032222222222222,1.1516111111111111,True,272.9000000000001,714.2,Overbooked
Travemünde,Klaipeda,2025-11-28,22:00,SHIP_05,201,120,55,8,13,5,2759.3,1625.5,234,155,2400,280,0.2736318407960199,0.6772916666666666,1.149708333333333,True,359.3000000000002,774.5,Overbooked
Swinoujscie,Trelleborg,2024-01-17,06:00,SHIP_03,168,105,49,3,7,4,2414.0,1479.7,201,134,2100,230,0.2916666666666667,0.7046190476190476,1.1495238095238096,True,314.0,620.3,Overbooked
Klaipeda,Rostock,2025-10-25,18:00,SHIP_05,195,113,57,5,15,5,2757.8,1611.1,222,145,2400,280,0.2923076923076923,0.6712916666666666,1.1490833333333337,True,357.8000000000002,788.9000000000001,Overbooked
Trelleborg,Travemünde,2025-05-20,06:00,SHIP_05,194,123,41,11,13,6,2748.4,1727.2,222,152,2400,280,0.211340206185567,0.7196666666666667,1.1451666666666669,True,348.4000000000001,672.8,Overbooked
Klaipeda,Travemünde,2024-05-09,08:00,SHIP_02,162,110,37,5,8,2,2290.3,1522.4,185,137,2000,220,0.228395061728395,0.7612000000000001,1.14515,True,290.3000000000002,477.5999999999999,Overbooked
Klaipeda,Rostock,2025-11-17,18:00,SHIP_01,146,87,39,6,9,5,2061.0,1224.2,168,115,1800,180,0.2671232876712329,0.6801111111111111,1.145,True,261.0,575.8,Overbooked
Rostock,Trelleborg,2025-08-06,10:00,SHIP_01,149,95,33,6,13,2,2060.8,1239.8,172,125,1800,180,0.2214765100671141,0.6887777777777777,1.144888888888889,True,260.8000000000002,560.2,Overbooked
Trelleborg,Rostock,2024-05-08,06:00,SHIP_04,184,116,40,7,15,6,2518.6,1570.5,215,156,2200,250,0.217391304347826,0.7138636363636364,1.1448181818181815,True,318.5999999999999,629.5,Overbooked
Trelleborg,Travemünde,2025-01-31,14:00,SHIP_03,178,107,51,5,9,6,2404.0,1419.7,211,134,2100,230,0.2865168539325842,0.6760476190476191,1.1447619047619049,True,304.0,680.3,Overbooked
Klaipeda,Rostock,2024-06-08,06:00,SHIP_02,170,103,46,8,9,4,2288.7,1341.7,198,131,2000,220,0.2705882352941176,0.6708500000000001,1.14435,True,288.6999999999998,658.3,Overbooked
Klaipeda,Rostock,2025-01-22,14:00,SHIP_01,147,84,43,5,10,5,2058.6,1196.2,174,109,1800,180,0.2925170068027211,0.6645555555555556,1.1436666666666666,True,258.5999999999999,603.8,Overbooked
Trelleborg,Travemünde,2025-04-12,08:00,SHIP_04,182,108,51,7,9,7,2514.9,1449.1,205,128,2200,250,0.2802197802197802,0.6586818181818181,1.1431363636363636,True,314.9000000000001,750.9000000000001,Overbooked
Trelleborg,Rostock,2024-08-08,18:00,SHIP_05,193,111,53,7,9,13,2743.3,1542.6,218,135,2400,280,0.2746113989637305,0.6427499999999999,1.1430416666666667,True,343.3000000000002,857.4000000000001,Overbooked
Klaipeda,Rostock,2024-04-16,14:00,SHIP_05,197,108,55,6,19,9,2740.2,1516.3,229,147,2400,280,0.2791878172588832,0.6317916666666666,1.1417499999999998,True,340.1999999999998,883.7,Overbooked
Trelleborg,Swinoujscie,2024-10-18,08:00,SHIP_02,159,99,39,7,7,7,2282.3,1412.5,186,121,2000,220,0.2452830188679245,0.70625,1.14115,True,282.3000000000002,587.5,Overbooked
Klaipeda,Travemünde,2024-04-23,10:00,SHIP_03,178,115,44,7,10,2,2394.3,1482.3,205,147,2100,230,0.247191011235955,0.7058571428571428,1.1401428571428571,True,294.3000000000002,617.7,Overbooked
Klaipeda,Rostock,2025-10-17,14:00,SHIP_02,164,107,40,8,8,1,2278.4,1464.4,192,131,2000,220,0.2439024390243902,0.7322000000000001,1.1392,True,278.4000000000001,535.5999999999999,Overbooked
Travemünde,Klaipeda,2024-04-11,22:00,SHIP_04,175,99,58,5,11,2,2505.7,1362.2,203,130,2200,250,0.3314285714285714,0.6191818181818182,1.138954545454545,True,305.6999999999998,837.8,Overbooked
Klaipeda,Rostock,2025-11-03,10:00,SHIP_03,172,93,54,9,11,5,2391.2,1271.6,190,116,2100,230,0.313953488372093,0.6055238095238095,1.1386666666666665,True,291.1999999999998,828.4000000000001,Overbooked
Rostock,Trelleborg,2024-04-10,08:00,SHIP_02,168,97,49,10,9,3,2276.0,1281.3,204,127,2000,220,0.2916666666666667,0.6406499999999999,1.138,True,276.0,718.7,Overbooked
Trelleborg,Swinoujscie,2024-12-26,22:00,SHIP_05,195,116,53,3,17,6,2731.2,1568.4,220,151,2400,280,0.2717948717948718,0.6535000000000001,1.138,True,331.1999999999998,831.5999999999999,Overbooked
Klaipeda,Travemünde,2025-08-15,06:00,SHIP_04,177,104,50,6,12,5,2503.1,1430.4,198,129,2200,250,0.2824858757062147,0.6501818181818182,1.1377727272727272,True,303.0999999999999,769.5999999999999,Overbooked
Klaipeda,Rostock,2025-10-12,18:00,SHIP_05,195,109,53,9,18,6,2729.8,1456.3,232,151,2400,280,0.2717948717948718,0.6067916666666666,1.1374166666666667,True,329.8000000000002,943.7,Overbooked
Rostock,Klaipeda,2025-02-08,10:00,SHIP_03,172,97,52,9,6,8,2387.9,1294.1,193,115,2100,230,0.3023255813953488,0.6162380952380951,1.1370952380952382,True,287.9000000000001,805.9000000000001,Overbooked
Rostock,Trelleborg,2025-12-10,22:00,SHIP_04,178,103,44,13,13,5,2500.6,1377.2,200,131,2200,250,0.247191011235955,0.626,1.1366363636363637,True,300.5999999999999,822.8,Overbooked
Travemünde,Trelleborg,2024-03-31,06:00,SHIP_03,169,111,38,5,11,4,2386.2,1523.1,184,133,2100,230,0.2248520710059171,0.7252857142857142,1.136285714285714,True,286.1999999999998,576.9000000000001,Overbooked
Travemünde,Trelleborg,2024-02-27,14:00,SHIP_05,200,117,50,14,12,7,2727.0,1581.5,224,145,2400,280,0.25,0.6589583333333333,1.13625,True,327.0,818.5,Overbooked
Travemünde,Trelleborg,2025-03-17,18:00,SHIP_01,148,92,39,6,6,5,2044.5,1242.6,171,114,1800,180,0.2635135135135135,0.6903333333333332,1.1358333333333333,True,244.5,557.4000000000001,Overbooked
Trelleborg,Travemünde,2025-04-25,14:00,SHIP_03,173,115,37,8,6,7,2383.9,1547.8,197,137,2100,230,0.2138728323699422,0.7370476190476191,1.1351904761904763,True,283.9000000000001,552.2,Overbooked
Klaipeda,Travemünde,2024-08-09,06:00,SHIP_02,163,105,40,4,10,4,2268.8,1412.1,184,129,2000,220,0.2453987730061349,0.70605,1.1344,True,268.8000000000002,587.9000000000001,Overbooked
Travemünde,Trelleborg,2024-09-09,06:00,SHIP_05,192,118,45,10,14,5,2720.4,1615.3,224,158,2400,280,0.234375,0.6730416666666666,1.1335,True,320.4000000000001,784.7,Overbooked
Trelleborg,Rostock,2025-07-09,18:00,SHIP_05,197,117,53,11,11,5,2719.0,1564.3,225,145,2400,280,0.2690355329949238,0.6517916666666667,1.1329166666666666,True,319.0,835.7,Overbooked
Swinoujscie,Trelleborg,2025-03-31,18:00,SHIP_04,176,105,49,8,4,10,2491.1,1467.5,205,129,2200,250,0.2784090909090909,0.6670454545454545,1.1323181818181818,True,291.0999999999999,732.5,Overbooked
Swinoujscie,Trelleborg,2025-08-23,10:00,SHIP_01,143,83,40,9,8,3,2037.1,1157.1,169,104,1800,180,0.2797202797202797,0.6428333333333333,1.131722222222222,True,237.0999999999999,642.9000000000001,Overbooked
Klaipeda,Travemünde,2025-01-30,10:00,SHIP_05,196,111,57,6,15,7,2716.0,1533.0,233,151,2400,280,0.2908163265306122,0.63875,1.1316666666666666,True,316.0,867.0,Overbooked
Rostock,Klaipeda,2025-06-20,14:00,SHIP_04,174,107,45,8,10,4,2489.2,1483.3,201,133,2200,250,0.2586206896551724,0.6742272727272727,1.1314545454545453,True,289.1999999999998,716.7,Overbooked
Trelleborg,Travemünde,2024-12-06,22:00,SHIP_03,169,99,42,11,11,6,2376.0,1384.8,207,139,2100,230,0.2485207100591716,0.6594285714285714,1.1314285714285717,True,276.0,715.2,Overbooked
Trelleborg,Swinoujscie,2024-07-14,08:00,SHIP_04,180,107,49,7,10,7,2488.9,1493.5,205,134,2200,250,0.2722222222222222,0.6788636363636363,1.131318181818182,True,288.9000000000001,706.5,Overbooked
Trelleborg,Rostock,2025-03-16,08:00,SHIP_04,179,110,41,8,10,10,2485.3,1517.1,211,141,2200,250,0.2290502793296089,0.689590909090909,1.1296818181818182,True,285.3000000000002,682.9000000000001,Overbooked
Travemünde,Klaipeda,2025-03-26,14:00,SHIP_05,194,118,48,8,14,6,2710.5,1561.3,216,144,2400,280,0.2474226804123711,0.6505416666666667,1.129375,True,310.5,838.7,Overbooked
Trelleborg,Swinoujscie,2025-05-03,14:00,SHIP_03,172,100,51,8,8,5,2369.3,1353.0,193,118,2100,230,0.2965116279069767,0.6442857142857142,1.1282380952380953,True,269.3000000000002,747.0,Overbooked
