Customer_Number,Total_Final_Bookings,Loaded_Bookings,NoShow_Count,Reserved_Meter,Loaded_Meter,NoShow_Rate,Booking_Reliability_Score,Unused_Meter,Meter_Utilization_Rate,Risk_Category,Deferral_Candidate_Score
C00911,54,20,34,750.1,300.1,0.6296296296296297,0.3703703703703703,450.0,0.4000799893347553,High Risk,0.6236877058367527
C00782,39,15,24,528.0,182.7,0.6153846153846154,0.3846153846153846,345.3,0.3460227272727272,High Risk,0.6231031468531469
C00332,34,13,21,500.9,178.5,0.6176470588235294,0.3823529411764705,322.4,0.3563585546017169,High Risk,0.6228459361384802
C00152,42,16,26,617.0,223.9,0.6190476190476191,0.3809523809523809,393.1,0.3628849270664506,High Risk,0.6226611098248052
C00981,34,13,21,512.5,183.3,0.6176470588235294,0.3823529411764705,329.2,0.3576585365853659,High Risk,0.6225859397417504
C00651,44,17,27,675.1,246.7,0.6136363636363636,0.3863636363636363,428.4,0.3654273440971707,High Risk,0.6178236220896568
C00660,41,16,25,537.8,207.8,0.6097560975609756,0.3902439024390244,329.99999999999994,0.3863889921904054,High Risk,0.6105270796106994
C00392,40,16,24,591.7,211.7,0.6,0.4,380.00000000000006,0.3577826601318235,High Risk,0.6084434679736352
C00953,33,13,20,465.7,179.2,0.6060606060606061,0.3939393939393939,286.5,0.3847970796650203,High Risk,0.6078890689154808
C00891,41,17,24,564.3,213.9,0.5853658536585366,0.4146341463414634,350.4,0.3790536948431686,High Risk,0.5924819439581955
C00833,41,17,24,574.6,226.4,0.5853658536585366,0.4146341463414634,348.20000000000005,0.3940132265924121,High Risk,0.5894900376083468
C00670,41,17,24,591.8,238.4,0.5853658536585366,0.4146341463414634,353.4,0.4028387968908415,High Risk,0.5877249235486609
C00122,46,19,27,632.2,259.7,0.5869565217391305,0.4130434782608695,372.50000000000006,0.4107877254033533,High Risk,0.5874076723106336
C00924,43,18,25,607.7,237.7,0.5813953488372093,0.4186046511627907,370.00000000000006,0.3911469475069935,High Risk,0.5868868895683688
C00847,36,15,21,517.4,210.3,0.5833333333333334,0.4166666666666667,307.1,0.4064553536915346,High Risk,0.5853755959283597
C00983,46,19,27,627.4,274.2,0.5869565217391305,0.4130434782608695,353.2,0.437041759642971,High Risk,0.5821568654627102
C01197,31,13,18,423.2,176.0,0.5806451612903226,0.4193548387096774,247.2,0.4158790170132325,High Risk,0.5813403256296116
C00085,31,13,18,429.0,180.1,0.5806451612903226,0.4193548387096774,248.9,0.4198135198135198,High Risk,0.5805534250695541
C00365,54,23,31,710.4,283.0,0.5740740740740741,0.4259259259259259,427.4,0.3983671171171171,High Risk,0.5795858358358359
C00642,41,17,24,592.8,265.4,0.5853658536585366,0.4146341463414634,327.4,0.4477058029689608,High Risk,0.5787515223330371
C00698,28,12,16,387.7,155.0,0.5714285714285714,0.4285714285714285,232.7,0.3997936548877998,High Risk,0.5771841261652971
C00888,49,21,28,663.0,265.7,0.5714285714285714,0.4285714285714285,397.3,0.4007541478129713,High Risk,0.5769920275802628
C00781,33,14,19,487.4,209.7,0.5757575757575758,0.4242424242424242,277.7,0.4302421009437833,High Risk,0.574557640417304
C01096,40,17,23,571.9,244.4,0.575,0.425,327.5,0.4273474383633502,High Risk,0.5745305123273299
C01113,37,16,21,525.5,215.9,0.5675675675675675,0.4324324324324324,309.6,0.4108468125594672,High Risk,0.5718846915421606
C00246,30,13,17,422.7,178.7,0.5666666666666667,0.4333333333333333,244.0,0.4227584575348947,High Risk,0.5687816418263544
C00455,23,10,13,344.4,145.2,0.5652173913043478,0.4347826086956521,199.2,0.4216027874564459,High Risk,0.5678533555521891
C00931,37,16,21,525.7,242.9,0.5675675675675675,0.4324324324324324,282.80000000000007,0.4620505992010652,High Risk,0.561643934213841
C00846,41,18,23,598.3,269.8,0.5609756097560976,0.4390243902439024,328.49999999999994,0.4509443423031924,High Risk,0.5585916193442396
C01163,47,21,26,620.0,270.1,0.5531914893617021,0.4468085106382978,349.9,0.4356451612903226,High Risk,0.5554241592312972
C01060,36,16,20,509.0,229.8,0.5555555555555556,0.4444444444444444,279.2,0.4514734774066798,High Risk,0.5541497489631084
C00729,49,22,27,703.7,306.5,0.5510204081632653,0.4489795918367347,397.2000000000001,0.435554923973284,High Risk,0.5537053417359554
C00739,36,16,20,477.5,220.8,0.5555555555555556,0.4444444444444444,256.70000000000005,0.4624083769633507,High Risk,0.5519627690517743
C01040,38,17,21,512.6,232.4,0.5526315789473685,0.4473684210526316,280.20000000000005,0.4533749512290285,High Risk,0.5514302729120891
C00448,47,21,26,673.5,307.4,0.5531914893617021,0.4468085106382978,366.1,0.4564216778025241,High Risk,0.5512688559288569
C00897,39,18,21,535.5,217.8,0.5384615384615384,0.4615384615384615,317.7,0.4067226890756302,High Risk,0.5494246929541047
C01173,31,14,17,457.8,206.0,0.5483870967741935,0.4516129032258064,251.8,0.4499781564001747,High Risk,0.5487140461393198
C00251,31,14,17,440.6,204.4,0.5483870967741935,0.4516129032258064,236.2,0.4639128461189287,High Risk,0.545927108195569
C01012,52,24,28,764.9,324.5,0.5384615384615384,0.4615384615384615,440.4,0.4242384625441234,High Risk,0.545921538260406
C00049,48,22,26,676.7,298.1,0.5416666666666666,0.4583333333333333,378.6,0.4405201714201271,High Risk,0.545229299049308
C00610,37,17,20,518.1,229.2,0.5405405405405406,0.4594594594594595,288.90000000000003,0.4423856398378691,High Risk,0.5439553044648586
C00222,48,22,26,686.4,306.9,0.5416666666666666,0.4583333333333333,379.5,0.4471153846153846,High Risk,0.5439102564102565
C00454,37,17,20,516.7,229.5,0.5405405405405406,0.4594594594594595,287.20000000000005,0.4441648925875749,High Risk,0.5435994539149175
C00606,41,19,22,551.4,237.0,0.5365853658536586,0.4634146341463415,314.4,0.4298150163220892,High Risk,0.5433052894185091
C00929,35,16,19,493.7,226.2,0.5428571428571428,0.4571428571428571,267.5,0.4581729795422322,High Risk,0.5426511183772679
C00534,43,20,23,570.0,249.1,0.5348837209302325,0.4651162790697674,320.9,0.4370175438596491,High Risk,0.5405034679722562
C00190,43,20,23,560.4,245.6,0.5348837209302325,0.4651162790697674,314.79999999999995,0.4382583868665239,High Risk,0.5402552993708812
C00272,44,20,24,614.4,297.2,0.5454545454545454,0.4545454545454545,317.2,0.4837239583333333,High Risk,0.5396188446969696
C00970,50,23,27,644.1,300.1,0.54,0.46,344.0,0.4659214407700667,High Risk,0.5388157118459868
C01029,39,18,21,555.2,258.3,0.5384615384615384,0.4615384615384615,296.90000000000003,0.4652377521613832,High Risk,0.5377216803369541
C00033,43,20,23,608.9,276.3,0.5348837209302325,0.4651162790697674,332.6,0.4537690918048941,High Risk,0.5371531583832072
C00098,36,17,19,506.4,218.5,0.5277777777777778,0.4722222222222222,287.9,0.431477093206951,High Risk,0.535926803580832
C00824,40,19,21,540.8,233.8,0.525,0.475,306.99999999999994,0.4323224852071006,High Risk,0.53353550295858
C00980,36,17,19,491.2,221.2,0.5277777777777778,0.4722222222222222,270.0,0.4503257328990228,High Risk,0.5321570756424177
C00795,34,16,18,486.7,223.4,0.5294117647058824,0.4705882352941176,263.29999999999995,0.459009656872817,High Risk,0.5317274803901425
C00790,39,18,21,567.9,283.3,0.5384615384615384,0.4615384615384615,284.6,0.4988554322944181,High Risk,0.5309981443103471
C00298,47,22,25,716.9,339.3,0.5319148936170213,0.4680851063829787,377.6,0.4732877667736086,High Risk,0.5308743615388952
C00745,36,17,19,519.8,238.0,0.5277777777777778,0.4722222222222222,281.79999999999995,0.4578684109272797,High Risk,0.5306485400367663
C00894,40,19,21,550.6,249.3,0.525,0.475,301.30000000000007,0.4527787867780602,High Risk,0.5294442426443879
C00336,40,19,21,585.8,266.2,0.525,0.475,319.6,0.4544213041993855,High Risk,0.529115739160123
C00999,35,17,18,488.2,205.5,0.5142857142857142,0.4857142857142857,282.7,0.4209340434248259,High Risk,0.5272417627436062
C00145,30,14,16,400.1,199.6,0.5333333333333333,0.4666666666666667,200.5,0.4988752811797051,High Risk,0.5268916104307256
C00772,38,18,20,533.6,251.9,0.5263157894736842,0.4736842105263157,281.70000000000005,0.4720764617691154,High Risk,0.5266373392251242
C00279,53,25,28,745.5,361.4,0.5283018867924528,0.4716981132075472,384.1,0.4847753185781354,High Risk,0.5256864457183352
C00950,40,19,21,578.8,274.1,0.525,0.475,304.69999999999993,0.47356599861783,High Risk,0.525286800276434
C00095,38,18,20,533.5,258.1,0.5263157894736842,0.4736842105263157,275.4,0.4837863167760075,High Risk,0.5242953682237459
C00760,40,19,21,489.7,238.2,0.525,0.475,251.5,0.4864202573003879,High Risk,0.5227159485399224
C00568,36,17,19,498.0,250.2,0.5277777777777778,0.4722222222222222,247.8,0.5024096385542168,High Risk,0.5217402945113788
C01027,40,19,21,567.9,284.7,0.525,0.475,283.2,0.5013206550449023,High Risk,0.5197358689910196
C00536,49,24,25,677.4,302.2,0.5102040816326531,0.4897959183673469,375.2,0.4461175081192796,High Risk,0.5189397636822666
C01059,33,16,17,464.5,219.3,0.5151515151515151,0.4848484848484848,245.2,0.4721205597416577,High Risk,0.5176971001728805
C00780,35,17,18,421.8,198.4,0.5142857142857142,0.4857142857142857,223.4,0.4703651019440493,High Risk,0.5173555510397615
C00744,41,20,21,539.9,260.0,0.5121951219512195,0.4878048780487805,279.9,0.4815706612335618,High Risk,0.5134419653142633
C00713,33,16,17,442.4,223.2,0.5151515151515151,0.4848484848484848,219.2,0.5045207956600362,High Risk,0.5112170529892048
C00609,48,24,24,655.9,309.3,0.5,0.5,346.6,0.4715657874676018,Medium Risk,0.5056868425064797
C00532,40,20,20,587.7,284.6,0.5,0.5,303.1,0.4842606772162668,Medium Risk,0.5031478645567466
C01138,42,21,21,612.3,297.3,0.5,0.5,314.99999999999994,0.4855463008329251,Medium Risk,0.502890739833415
C00466,54,27,27,820.9,402.7,0.5,0.5,418.2,0.4905591424046778,Medium Risk,0.5018881715190645
C00196,35,17,18,495.3,272.2,0.5142857142857142,0.4857142857142857,223.1,0.5495659196446597,High Risk,0.5015153874996394
C00419,52,26,26,726.4,364.3,0.5,0.5,362.1,0.5015143171806168,Medium Risk,0.4996971365638766
C01001,49,25,24,697.8,336.6,0.4897959183673469,0.5102040816326531,361.19999999999993,0.4823731728288908,Medium Risk,0.4953621001280993
C00040,46,23,23,635.1,333.8,0.5,0.5,301.3,0.5255865218075894,Medium Risk,0.4948826956384821
C00624,46,24,22,644.7,284.9,0.4782608695652174,0.5217391304347826,359.80000000000007,0.4419109663409337,Medium Risk,0.4942265023839872
C00333,43,22,21,600.3,293.4,0.4883720930232558,0.5116279069767442,306.9,0.4887556221889055,Medium Risk,0.4929465499808235
C00886,43,22,21,597.8,293.4,0.4883720930232558,0.5116279069767442,304.4,0.4907995985279357,Medium Risk,0.4925377547130174
C00759,39,20,19,532.6,264.0,0.4871794871794871,0.5128205128205128,268.6,0.4956815621479534,Medium Risk,0.4906072773139991
C00979,43,22,21,589.4,300.40000000000003,0.4883720930232558,0.5116279069767442,288.99999999999994,0.5096708517136072,Medium Risk,0.4887635040758831
C00810,49,25,24,714.7,368.7,0.4897959183673469,0.5102040816326531,346.00000000000006,0.5158807891422974,Medium Risk,0.4886605768654181
C00818,37,19,18,535.1,269.0,0.4864864864864865,0.5135135135135135,266.1,0.5027097738740423,Medium Risk,0.4886472344143807
C00150,43,22,21,594.7,307.9,0.4883720930232558,0.5116279069767442,286.80000000000007,0.517740036993442,Medium Risk,0.4871496670199162
C00918,31,16,15,444.0,226.4,0.4838709677419355,0.5161290322580645,217.6,0.5099099099099099,Medium Risk,0.4851147922115664
C00261,37,19,18,541.4,282.0,0.4864864864864865,0.5135135135135135,259.4,0.5208718138160325,Medium Risk,0.4850148264259827
C00430,33,17,16,454.1,236.9,0.4848484848484848,0.5151515151515151,217.2,0.5216912574322836,Medium Risk,0.4835405363923312
C01192,42,22,20,595.3,294.4,0.4761904761904761,0.5238095238095238,300.9,0.4945405677809508,Medium Risk,0.4820442673961908
C01042,55,29,26,807.8,397.2,0.4727272727272727,0.5272727272727272,410.6,0.4917058677890567,Medium Risk,0.4798406446240068
C00522,38,20,18,529.4,263.4,0.4736842105263157,0.5263157894736842,266.0,0.4975443898753305,Medium Risk,0.4794384904459864
C00503,34,18,16,503.5,245.6,0.4705882352941176,0.5294117647058824,257.9,0.487785501489573,Medium Risk,0.4789134879373795
C00674,51,27,24,731.1,358.8,0.4705882352941176,0.5294117647058824,372.3,0.4907673368896184,Medium Risk,0.4783171208573704
C00616,44,23,21,636.5,330.2,0.4772727272727273,0.5227272727272727,306.3,0.5187745483110762,Medium Risk,0.4780632721559666
C00762,34,18,16,503.9,249.1,0.4705882352941176,0.5294117647058824,254.8,0.4943441158960111,Medium Risk,0.4776017650560918
C00413,44,23,21,599.4,313.5,0.4772727272727273,0.5227272727272727,285.9,0.5230230230230231,Medium Risk,0.4772135772135772
C00096,38,20,18,533.4,272.8,0.4736842105263157,0.5263157894736842,260.6,0.5114360704911887,Medium Risk,0.4766601543228148
C00712,44,23,21,603.9,318.2,0.4772727272727273,0.5227272727272727,285.7,0.5269084285477728,Medium Risk,0.4764364961086272
C01118,38,20,18,506.5,262.0,0.4736842105263157,0.5263157894736842,244.5,0.5172754195459033,Medium Risk,0.4754922845118719
C00104,34,18,16,464.0,234.6,0.4705882352941176,0.5294117647058824,229.4,0.505603448275862,Medium Risk,0.4753498985801217
C00195,38,20,18,525.7,273.2,0.4736842105263157,0.5263157894736842,252.50000000000009,0.5196880350009511,Medium Risk,0.4750097614208624
C00270,38,20,18,514.1,270.5,0.4736842105263157,0.5263157894736842,243.6,0.5261622252480062,Medium Risk,0.4737149233714514
C00952,41,22,19,560.0,278.0,0.4634146341463415,0.5365853658536586,282.0,0.4964285714285714,Medium Risk,0.4714459930313588
C01185,45,24,21,658.0,339.4,0.4666666666666667,0.5333333333333333,318.6,0.51580547112462,Medium Risk,0.4701722391084093
C00694,32,17,15,455.7,242.5,0.46875,0.53125,213.2,0.5321483432082511,Medium Risk,0.4685703313583498
C01063,43,23,20,597.9,311.8,0.4651162790697674,0.5348837209302325,286.1,0.5214918882756314,Medium Risk,0.4677946456006877
C00245,38,20,18,555.0,310.5,0.4736842105263157,0.5263157894736842,244.5,0.5594594594594594,Medium Risk,0.4670554765291607
C00116,45,24,21,633.3,336.9,0.4666666666666667,0.5333333333333333,296.4,0.5319753671245855,Medium Risk,0.4669382599084162
C00324,34,18,16,455.8,250.1,0.4705882352941176,0.5294117647058824,205.7,0.54870557261957,Medium Risk,0.4667294737113801
C00766,33,18,15,484.8,237.3,0.4545454545454545,0.5454545454545454,247.5,0.4894801980198019,Medium Risk,0.4657403240324032
C00256,52,28,24,738.1,384.8,0.4615384615384615,0.5384615384615384,353.3,0.5213385720092129,Medium Risk,0.4649630548289267
C00485,31,17,14,400.4,193.3,0.4516129032258064,0.5483870967741935,207.1,0.4827672327672328,Medium Risk,0.4647368760271986
C01126,37,20,17,519.4,268.8,0.4594594594594595,0.5405405405405406,250.6,0.5175202156334232,Medium Risk,0.4640635244408829
C00475,43,23,20,608.8,332.2,0.4651162790697674,0.5348837209302325,276.6,0.5456636005256242,Medium Risk,0.4629603031506891
C00567,29,16,13,401.1,198.3,0.4482758620689655,0.5517241379310345,202.8,0.4943904263275991,Medium Risk,0.4597426043896526
C00617,35,19,16,483.1,261.5,0.4571428571428571,0.5428571428571428,221.6,0.5412957979714345,Medium Risk,0.4574551261199988
