Customer Number,total_bookings,reserved_meter,loaded_meter,reliability_score
C00051,47,659.5,111.39999999999999,0.16891584533737677
C00052,51,689.0,147.8,0.2145137880986938
C00053,52,667.1,442.4,0.6631689401888772
C00054,55,790.9,594.3,0.7514224301428751
C00055,47,648.1,348.8,0.5381885511495139
C00056,46,601.6999999999999,232.5,0.3864051853082932
C00057,68,912.7,548.6,0.6010737372630657
C00058,42,574.6,106.2,0.18482422554820743
C00059,52,744.5,450.4,0.6049697783747481
C00060,68,980.4,495.4,0.5053039575683395
C00061,50,694.5,415.2,0.5978401727861771
C00062,56,778.6,568.5,0.7301566914975597
C00063,55,761.6,335.1,0.43999474789915966
C00064,49,675.1,497.4,0.7367797363353576
C00065,38,557.0,337.7,0.6062836624775584
C00066,48,646.1,500.8,0.77511221173193
C00067,57,787.6,533.3,0.6771203656678516
C00068,51,722.4,391.2,0.5415282392026578
C00069,47,651.7,333.1,0.5111247506521406
C00070,48,689.3,558.3,0.8099521253445524
C00071,43,611.9,288.4,0.47131884294819415
C00072,53,787.2,573.2,0.728150406504065
C00073,49,685.0,173.4,0.25313868613138685
C00074,41,571.5,404.0,0.7069116360454943
C00075,46,682.1,484.6,0.710453012754728
C00076,54,776.8,245.5,0.3160401647785788
C00077,48,673.7,102.30000000000001,0.1518480035624165
C00078,54,730.8,468.59999999999997,0.641215106732348
C00079,41,573.5,317.2,0.5530950305143854
C00080,51,683.1,175.9,0.25750256185038795
C00081,55,750.7,459.8,0.6124950046623151
C00082,49,672.9,449.8,0.6684499925694755
C00083,41,579.6,351.3,0.6061076604554866
C00084,50,722.1,151.3,0.20952776623736324
C00085,42,565.5,180.1,0.3184792219274978
C00086,50,700.9,496.09999999999997,0.707804251676416
C00087,52,781.6,109.5,0.14009723643807573
C00088,59,829.6,611.1,0.7366200578592093
C00089,50,670.2,301.9,0.4504625484929871
C00090,44,621.6999999999999,150.4,0.24191732346791062
C00091,45,620.8,460.3,0.7414626288659795
C00092,57,828.9,628.7,0.7584750874653156
C00093,50,665.5,132.6,0.1992486851990984
C00094,53,761.8000000000001,549.9,0.7218430034129691
C00095,51,692.7,258.1,0.37259997112747223
C00096,52,715.5,272.8,0.3812718378756115
C00097,53,740.3,396.5,0.535593678238552
C00098,47,647.5,218.5,0.33745173745173745
C00099,36,504.4,383.5,0.7603092783505155
C00100,45,610.6,428.8,0.7022600720602685
C00101,37,479.40000000000003,368.9,0.7695035460992907
C00102,43,591.1,469.6,0.7944510235154796
C00103,74,1000.1,770.2,0.7701229877012299
C00104,43,586.5,234.6,0.39999999999999997
C00105,68,934.0,666.5,0.7135974304068522
C00106,49,685.3,476.4,0.6951699985407851
C00107,45,612.5,361.6,0.5903673469387756
C00108,45,649.8,425.5,0.6548168667282241
C00109,50,691.1,435.4,0.6300101287802055
C00110,54,755.0,568.3,0.7527152317880794
C00111,57,829.5,634.9,0.7654008438818565
C00112,51,685.6,473.2,0.690198366394399
C00113,52,716.1,514.1,0.7179164921100405
C00114,45,591.4,358.1,0.6055123435914779
C00115,51,669.6,398.6,0.5952807646356033
C00116,51,710.4,336.9,0.47423986486486486
C00117,64,908.1,713.2,0.7853760599052968
C00118,38,541.9,462.2,0.852924893891862
C00119,40,508.3,415.8,0.8180208538264804
C00120,52,701.8,381.7,0.5438871473354232
C00121,46,632.6,408.5,0.6457477078722731
C00122,56,790.3,259.7,0.32860938883968116
C00123,38,546.5,246.1,0.45032021957914
C00124,47,757.4,580.6,0.7665698442038553
C00125,45,574.8,455.5,0.7924495476687544
C00126,56,790.6,591.4,0.7480394636984569
C00127,49,686.9,453.90000000000003,0.6607948755277334
C00128,55,772.2,154.2,0.19968919968919965
C00129,54,702.9,433.6,0.6168729549011239
C00130,46,663.9,390.5,0.5881909926193704
C00131,47,646.1,454.3,0.7031419284940411
C00132,44,650.4,493.5,0.7587638376383764
C00133,41,549.6,379.4,0.690320232896652
C00134,50,688.6,502.1,0.7291606157420853
C00135,55,730.4,433.1,0.5929627601314349
C00136,54,756.0,352.6,0.46640211640211643
C00137,53,805.4,358.5,0.4451204370499131
C00138,52,703.5,526.3,0.7481165600568584
C00139,49,676.0,522.3,0.7726331360946745
C00140,63,916.1,696.6,0.7603973365353127
C00141,41,567.4,332.2,0.5854776172012689
C00142,53,780.2,487.0,0.6241989233529863
C00143,54,807.0,161.9,0.2006195786864932
C00144,54,776.0,412.3,0.5313144329896907
C00145,37,508.09999999999997,199.6,0.392836055894509
C00146,53,736.5,515.8,0.7003394433129667
C00147,49,686.4,301.2,0.4388111888111888
C00148,40,552.0,426.6,0.7728260869565218
C00149,42,591.8,463.0,0.782358905035485
C00150,50,693.0,307.9,0.44430014430014425
C00151,44,647.7,440.4,0.6799444187123668
C00152,49,717.6,223.9,0.31201226309921964
C00153,47,640.0,534.2,0.8346875
C00154,53,734.1,502.8,0.6849203105843891
C00155,57,808.3,326.8,0.40430533217864656
C00156,52,741.5,329.6,0.4445043830074174
C00157,61,862.0,722.9,0.8386310904872389
C00158,60,842.6,633.6,0.7519582245430809
C00159,52,735.1,453.8,0.6173309753774997
C00160,40,603.5,420.0,0.695940347970174
C00161,58,817.7,215.0,0.26293261587379235
C00162,35,493.0,366.0,0.742393509127789
C00163,50,648.0,361.4,0.557716049382716
C00164,45,643.7,323.1,0.5019418983998757
C00165,54,811.5,529.1,0.6520024645717807
C00166,52,760.2,472.1,0.6210207840042095
C00167,57,752.9,530.7,0.7048744853234162
C00168,59,814.6,484.6,0.5948931991161306
C00169,49,708.6,538.1,0.7593847022297489
C00170,44,593.7,352.2,0.5932289034866093
C00171,44,650.1,511.4,0.7866482079680048
C00172,55,778.7,463.3,0.5949659689225633
C00173,55,760.5,411.8,0.5414858645627877
C00174,50,709.3,570.1,0.803750176230086
C00175,45,577.0,135.2,0.23431542461005198
C00176,51,742.9,520.4,0.7004980481895275
C00177,53,765.2,503.2,0.6576058546785154
C00178,45,592.5,345.7,0.5834599156118143
C00179,49,632.3,421.5,0.6666139490748063
C00180,57,771.5,388.1,0.5030460142579392
C00181,63,899.0,659.6,0.7337041156840934
C00182,54,783.4,601.3,0.7675516977278529
C00183,34,460.2,250.1,0.5434593654932638
C00184,57,833.6,560.7,0.6726247600767755
C00185,50,741.7,496.3,0.6691384656869354
C00186,57,768.4,219.6,0.2857886517438834
C00187,45,598.1,427.5,0.7147634174887142
C00188,59,792.8,604.6,0.7626135216952574
C00189,51,710.5,628.1,0.8840253342716398
C00190,50,667.3000000000001,245.6,0.3680503521654428
C00191,64,915.8,630.3,0.6882507097619568
C00192,46,646.9,442.7,0.6843407018086257
C00193,42,566.4,347.9,0.6142302259887006
C00194,56,765.0,625.1,0.817124183006536
C00195,50,703.3,273.2,0.3884544291198635
C00196,49,681.6,272.2,0.3993544600938967
C00197,57,833.2,702.1,0.8426548247719635
C00198,51,694.1,315.7,0.45483359746434227
C00199,46,674.9,349.7,0.5181508371610609
C00200,51,688.2,326.9,0.4750072653298459
C00201,46,647.7,134.6,0.2078122587617724
C00202,65,917.5,661.2,0.7206539509536786
C00203,50,733.6,356.9,0.486504907306434
C00204,52,769.3,434.4,0.5646691797738204
C00205,68,901.2,634.2,0.703728362183755
C00206,42,637.2,315.4,0.4949780288763339
C00207,58,791.1,595.7,0.7530021489065858
C00208,40,559.8,338.9,0.6053947838513755
C00209,46,627.1,448.9,0.7158347950885026
C00210,47,631.4,158.3,0.2507127019322142
C00211,52,724.1,542.9,0.74975832067394
C00212,60,902.9,490.3,0.5430280208217965
C00213,48,663.6,475.7,0.7168474984930681
C00214,46,641.3,424.7,0.6622485576173398
C00215,45,658.6,444.4,0.6747646522927421
C00216,56,778.1,436.3,0.5607248425652229
C00217,54,700.7,526.8,0.751819608962466
C00218,59,819.6,449.6,0.5485602733040508
C00219,48,666.7,537.5,0.8062096895155242
C00220,47,618.8,354.1,0.5722365869424694
C00221,50,679.4,380.0,0.5593170444509862
C00222,59,838.5,306.9,0.3660107334525939
C00223,50,665.5,395.4,0.5941397445529677
C00224,50,719.4,610.7,0.8489018626633307
C00225,40,588.3,241.4,0.4103348631650519
C00226,48,718.3,543.5,0.7566476402617291
C00227,48,625.9,369.5,0.5903498961495447
C00228,47,676.2,302.1,0.44676131322094054
C00229,41,609.0,395.59999999999997,0.6495894909688013
C00230,45,664.1,342.0,0.5149826833308236
C00231,51,744.8,410.7,0.5514232008592911
C00232,47,639.3,332.4,0.5199436884091976
C00233,49,667.3,491.5,0.7365502772366253
C00234,44,588.1,275.6,0.4686277843904098
C00235,48,647.4,505.8,0.7812789620018536
C00236,46,599.0,298.6,0.4984974958263773
C00237,48,617.8,339.6,0.5496924571058596
C00238,38,548.1,378.9,0.6912972085385878
C00239,61,906.2,513.4,0.566541602295299
C00240,49,669.4,134.6,0.20107559008066925
C00241,37,529.1,357.9,0.6764316764316763
C00242,46,629.8,317.7,0.5044458558272468
C00243,49,706.4,506.8,0.717440543601359
C00244,64,934.1,541.3,0.5794882774863505
C00245,46,670.5,310.5,0.46308724832214765
C00246,37,511.6,178.7,0.34929632525410476
C00247,51,707.4,494.9,0.6996041843370088
C00248,48,686.1,379.1,0.5525433610260895
C00249,45,615.2,147.9,0.24040962288686604
C00250,37,499.4,341.6,0.6840208249899881
C00251,48,680.5,204.4,0.3003673769287289
C00252,50,684.2,412.2,0.6024554223911136
C00253,69,930.3,250.8,0.26959045469203485
C00254,36,513.7,212.4,0.41347089741094023
C00255,55,714.1,464.5,0.6504691219717126
C00256,58,810.6,384.8,0.47471009129040215
C00257,45,582.3,378.1,0.6493216555040358
C00258,61,845.4,510.7,0.6040927371658387
C00259,51,736.2,592.1,0.80426514534094
C00260,56,753.2,352.9,0.46853425385023895
C00261,46,693.9,282.0,0.40639861651534803
C00262,49,673.0,191.4,0.28439821693907874
C00263,56,772.5,577.0,0.7469255663430421
C00264,54,735.4,509.0,0.6921403317922219
C00265,47,631.5,369.8,0.5855898653998417
C00266,47,714.0,435.5,0.6099439775910365
C00267,54,750.3,527.5,0.703052112488338
C00268,45,668.3,392.5,0.5873110878348048
C00269,38,521.5,355.6,0.6818791946308725
C00270,47,659.1,270.5,0.41040813230162343
C00271,53,727.5,200.8,0.27601374570446735
C00272,52,724.8,297.2,0.41004415011037526
C00273,38,508.2,390.9,0.7691853600944509
C00274,54,745.8,342.7,0.4595065701260392
C00275,48,680.0,528.3,0.7769117647058823
C00276,39,493.5,330.8,0.6703140830800406
C00277,52,753.4,485.5,0.644411998938147
C00278,50,709.0,420.1,0.5925246826516221
C00279,65,907.1,361.4,0.39841252342630357
C00280,39,580.1,390.9,0.6738493363213238
C00281,61,899.4,672.8,0.7480542583944851
C00282,54,757.5,589.4,0.7780858085808581
C00283,40,568.2,426.7,0.7509679690249911
C00284,52,687.2,503.2,0.7322467986030267
C00285,55,760.7,438.6,0.5765742079663467
C00286,55,770.6,405.9,0.5267324162989877
C00287,57,800.3,537.2,0.6712482818942898
C00288,51,687.6,359.2,0.5223967422920303
C00289,46,594.3,311.6,0.524314319367323
C00290,61,849.0,595.3,0.7011778563015312
C00291,48,642.9,447.1,0.6954425260538187
C00292,56,758.8,309.0,0.4072219293621508
C00293,49,669.6,350.7,0.5237455197132617
C00294,61,855.0,692.0,0.8093567251461988
C00295,49,678.5,383.3,0.5649226234340458
C00296,46,650.7,352.4,0.5415706162594128
C00297,57,823.8,360.7,0.43784899247390147
C00298,54,819.8,339.3,0.4138814344962186
C00299,48,712.3,625.0,0.8774392812017409
C00300,44,628.6,428.0,0.6808781419026407
C00301,49,680.0,456.6,0.6714705882352942
C00302,45,574.1,387.9,0.6756662602334087
C00303,59,848.2,556.3,0.6558594671068143
C00304,47,696.2,514.7,0.7392990519965528
C00305,43,564.2,368.1,0.6524282169443459
C00306,46,678.7,473.4,0.6975099454840135
C00307,38,550.8,466.4,0.8467683369644154
C00308,49,675.3,360.5,0.5338368132681771
C00309,54,778.9,580.1,0.7447682629349083
C00310,34,414.7,272.9,0.6580660718591753
C00311,48,698.8,353.09999999999997,0.5052947910704064
C00312,44,586.6,298.6,0.509035117627003
C00313,57,782.4,533.7,0.6821319018404909
C00314,56,785.9,365.6,0.4651991347499682
C00315,45,629.8,326.3,0.5181009844395047
C00316,56,739.9,432.4,0.5844032977429382
C00317,53,753.8,560.5,0.7435659326081189
C00318,37,481.1,279.1,0.5801288713365205
C00319,41,557.0,323.7,0.581149012567325
C00320,51,699.7,499.5,0.7138773760182935
C00321,56,707.0,352.1,0.4980198019801981
C00322,55,783.6,183.0,0.2335375191424196
C00323,50,684.9,506.0,0.7387939845232881
C00324,50,681.8,250.1,0.3668231152830742
C00325,52,716.9,410.0,0.5719068210350119
C00326,65,929.4,666.1,0.7166989455562729
C00327,42,601.4,349.2,0.5806451612903226
C00328,60,837.9,632.6,0.754982694832319
C00329,51,736.6,438.90000000000003,0.5958457778984524
C00330,49,652.2,387.8,0.5946028825513646
C00331,48,693.8,429.0,0.6183338137791872
C00332,44,640.5,178.5,0.2786885245901639
C00333,50,698.6,293.4,0.41998282278843396
C00334,56,774.5,584.0,0.7540348612007747
C00335,46,647.1,423.2,0.6539947457889043
C00336,54,779.0,266.2,0.3417201540436457
C00337,44,601.6,196.5,0.3266289893617021
C00338,43,608.9,281.6,0.46247331253079327
C00339,39,513.2,330.7,0.6443881527669524
C00340,40,513.1,393.0,0.7659325667511206
C00341,64,877.0,530.7,0.6051311288483466
C00342,60,875.3,639.8,0.7309493887809894
C00343,58,814.0,429.9,0.5281326781326781
C00344,47,672.3,469.6,0.6984976944816303
C00345,54,756.8,458.3,0.6055761099365751
C00346,42,631.7,494.0,0.7820167801171442
C00347,42,553.6,264.2,0.47723988439306353
C00348,51,648.9,301.4,0.4644783479734936
C00349,47,662.3,430.90000000000003,0.6506115053601088
C00350,44,585.9,486.2,0.8298344427376686
C00351,53,663.5,515.3,0.7766390354182365
C00352,63,857.6,671.5,0.7829990671641791
C00353,40,564.8,382.7,0.677584985835694
C00354,40,566.1,115.3,0.20367426249779189
C00355,43,622.2,388.5,0.624397299903568
C00356,54,738.1,191.6,0.2595854220295353
C00357,45,572.7,110.0,0.19207263837960536
C00358,53,758.4,620.2,0.8177742616033756
C00359,48,711.1,288.9,0.40627197299957807
C00360,61,847.1,683.7,0.8071065989847716
C00361,54,696.0,403.9,0.580316091954023
C00362,41,595.5,476.7,0.8005037783375315
C00363,41,540.7,303.4,0.5611244682818568
C00364,44,625.4,321.9,0.5147105852254557
C00365,64,853.2,283.0,0.3316924519456165
C00366,41,571.1,394.7,0.6911223953773419
C00367,54,740.5,417.6,0.5639432815665092
C00368,44,671.6,369.9,0.550774270399047
C00369,49,743.1,432.2,0.5816175481092719
C00370,53,724.2,330.5,0.45636564484948905
C00371,50,713.4,456.5,0.6398934679001963
C00372,52,722.8,400.3,0.5538184836745988
C00373,35,466.4,301.8,0.6470840480274443
C00374,47,639.1,494.1,0.773118447817243
C00375,42,611.1,122.5,0.20045819014891178
C00376,50,741.9,579.2,0.7806982073055668
C00377,45,614.5,378.7,0.616273393002441
C00378,51,734.1,631.7,0.8605094673750171
C00379,55,742.1,159.8,0.21533486053092576
C00380,35,480.3,146.3,0.30460129085987925
C00381,54,827.0,529.9,0.6407496977025393
C00382,47,636.0,387.7,0.6095911949685534
C00383,56,793.9,328.2,0.4134021917118025
C00384,58,764.4,355.0,0.4644165358451073
C00385,49,662.4,328.3,0.4956219806763285
C00386,49,737.1,428.0,0.5806539139872473
C00387,48,653.2,522.7,0.8002143294549908
C00388,52,754.9,561.7,0.7440720625248378
C00389,62,854.6,499.2,0.5841329276854669
C00390,46,589.6,417.9,0.7087856173677068
C00391,47,648.0,377.9,0.5831790123456789
C00392,47,667.9,211.7,0.3169636173079802
C00393,48,720.8,129.8,0.1800776914539401
C00394,47,678.6,401.6,0.591806660772178
C00395,50,658.5,464.4,0.7052391799544419
C00396,48,677.1,481.1,0.7105302023334811
C00397,41,576.1,406.1,0.7049123416073598
C00398,46,700.5,501.8,0.7163454675231977
C00399,47,684.2,445.6,0.6512715580239696
C00400,52,719.3,381.2,0.5299596830251634
C00401,59,869.8,480.4,0.5523108760634629
C00402,45,628.0,451.8,0.7194267515923567
C00403,51,707.8,426.09999999999997,0.6020062164453235
C00404,45,626.8,392.2,0.6257179323548181
C00405,54,743.0,451.6,0.6078061911170929
C00406,52,713.5,442.5,0.6201822004204625
C00407,48,682.1999999999999,512.1,0.7506596306068603
C00408,59,899.9,531.2,0.5902878097566397
C00409,50,671.7,566.4,0.84323358642251
C00410,62,869.8,488.1,0.5611634858588181
C00411,45,639.4,486.59999999999997,0.7610259618392242
C00412,52,763.9,526.5,0.6892263385259851
C00413,54,749.1,313.5,0.4185022026431718
C00414,51,747.7,345.6,0.4622174668984887
C00415,51,763.2,438.8,0.5749475890985325
C00416,59,818.4,635.1,0.7760263929618769
C00417,40,573.1,344.8,0.6016402024079567
C00418,47,653.7,149.0,0.22793330273825912
C00419,66,931.4,364.3,0.39113162980459526
C00420,46,652.5,295.3,0.45256704980842916
C00421,39,568.0,421.2,0.7415492957746479
C00422,58,771.0,228.1,0.2958495460440986
C00423,47,675.9,381.7,0.5647285101346353
C00424,69,995.9,674.9,0.6776784817752787
C00425,67,906.2,607.4,0.6702714632531449
C00426,44,555.0,359.5,0.6477477477477478
C00427,50,632.7,200.7,0.3172119487908961
C00428,50,714.2,473.2,0.6625595071408569
C00429,49,695.5,453.2,0.6516175413371675
C00430,39,542.5,236.9,0.4366820276497696
C00431,51,740.3,362.8,0.49007159259759564
C00432,48,655.4,404.1,0.6165700335672872
C00433,55,729.8,560.3,0.7677445875582352
C00434,47,653.5,379.2,0.5802601377199694
C00435,47,702.6,520.9,0.7413891261030457
C00436,71,1031.5,517.4,0.5015996122152205
C00437,46,628.6,159.1,0.2531021317212854
C00438,60,843.8,593.3,0.703128703484238
C00439,49,704.7,426.1,0.6046544628920107
C00440,37,492.4,339.2,0.6888708367181153
C00441,43,578.2,329.0,0.5690072639225181
C00442,54,790.0,616.9,0.7808860759493671
C00443,57,810.4,583.6,0.7201382033563672
C00444,63,876.4,672.3,0.7671154723870378
C00445,66,847.6,263.5,0.3108777725342142
C00446,58,801.9,601.3,0.7498441202144905
C00447,41,601.4,348.0,0.5786498170934486
C00448,52,748.8,307.4,0.41052350427350426
C00449,58,878.4,487.5,0.5549863387978142
C00450,49,679.7,440.0,0.6473444166544063
C00451,42,617.9,478.8,0.774882667098236
C00452,54,710.9,523.0,0.7356871571247714
C00453,45,637.8,149.4,0.23424270931326438
C00454,44,626.8,229.5,0.3661455009572432
C00455,26,385.7,145.2,0.3764583873476795
C00456,49,676.4,358.7,0.530307510348906
C00457,48,667.2,233.9,0.3505695443645084
C00458,45,631.9,349.6,0.5532520968507676
C00459,59,845.3,545.0,0.6447415118892701
C00460,63,967.4,266.0,0.27496382054992763
C00461,60,837.8,573.9,0.685008355216042
C00462,47,666.3,493.4,0.7405072790034519
C00463,46,658.0,359.2,0.5458966565349543
C00464,48,696.2,268.8,0.3860959494398161
C00465,36,488.4,365.3,0.747952497952498
C00466,60,882.9,402.7,0.45611054479556007
C00467,47,690.4,152.7,0.22117612977983778
C00468,58,832.6,182.3,0.21895267835695412
C00469,48,678.3,439.8,0.6483856700574967
C00470,49,710.0,526.4,0.7414084507042253
C00471,59,812.9,466.5,0.5738713248862098
C00472,48,707.6,527.4,0.7453363482193329
C00473,39,528.4,306.0,0.579106737320212
C00474,43,572.8,416.1,0.7264315642458101
C00475,51,710.3,332.2,0.46768970857384207
C00476,41,541.5,237.8,0.4391505078485688
C00477,60,831.5,649.8,0.7814792543595911
C00478,37,509.40000000000003,312.2,0.6128778955634079
C00479,48,703.4,393.9,0.5599943133352289
C00480,59,810.7,545.9,0.6733686937214752
C00481,30,402.9,302.3,0.7503102506825515
C00482,48,629.2,385.4,0.612523839796567
C00483,53,741.4,558.5,0.7533045589425411
C00484,65,946.3,507.4,0.5361935961111698
C00485,41,548.4,193.3,0.3524799416484318
C00486,64,890.9,661.9,0.7429565607812324
C00487,44,567.7,322.2,0.5675532851858375
C00488,54,737.7,515.9,0.6993357733496001
C00489,43,621.2,393.6,0.6336123631680618
C00490,50,714.7,633.0,0.885686301944872
C00491,43,592.9,432.8,0.7299713273739248
C00492,40,565.7,454.0,0.8025455188262329
C00493,51,717.2,393.5,0.5486614612381483
C00494,35,486.1,388.40000000000003,0.7990125488582597
C00495,55,762.6,544.8,0.7143981117230527
C00496,53,743.5,383.0,0.5151311365164761
C00497,51,704.7,462.6,0.6564495530012772
C00498,50,642.6,469.9,0.7312480547774665
C00499,42,592.3,359.9,0.6076312679385447
C00500,42,599.9,329.9,0.5499249874979163
C00501,48,679.5,439.0,0.6460632818248713
C00502,49,678.2,411.9,0.6073429666764966
C00503,35,525.0,245.6,0.4678095238095238
C00504,54,746.1,510.2,0.6838225438949203
C00505,46,657.0,513.0,0.7808219178082192
C00506,42,557.6,362.0,0.6492109038737446
C00507,55,775.6,522.8,0.6740587931923672
C00508,54,790.0,580.2,0.7344303797468354
C00509,59,857.3,510.2,0.5951242272250088
C00510,56,734.2,310.9,0.4234540997003541
C00511,51,726.5,459.59999999999997,0.6326221610461115
C00512,44,616.5,451.4,0.7321978913219789
C00513,51,711.9,453.1,0.6364657957578312
C00514,49,712.5,595.6,0.8359298245614035
C00515,55,803.8,408.4,0.5080865887036576
C00516,49,668.0,452.3,0.6770958083832336
C00517,57,828.7,506.2,0.610836249547484
C00518,50,721.7,499.7,0.692392961064154
C00519,56,772.9,525.3,0.6796480786647691
C00520,53,727.7,430.4,0.5914525216435343
C00521,57,820.1,597.3,0.728325813925131
C00522,47,664.5,263.4,0.3963882618510158
C00523,40,580.2,270.1,0.46552912788693557
C00524,50,660.1,140.3,0.21254355400696864
C00525,44,633.2,390.0,0.6159191408717625
C00526,58,780.3,606.4,0.7771369985902858
C00527,47,629.8,292.2,0.46395681168624964
C00528,48,710.6,508.6,0.7157331832254433
C00529,45,628.7,307.59999999999997,0.4892635597264195
C00530,45,607.8,246.0,0.4047384007897335
C00531,54,726.9,384.9,0.529508873297565
C00532,51,719.2,284.6,0.3957174638487208
C00533,55,764.6,519.3,0.679178655506147
C00534,54,712.7,249.1,0.3495159253542865
C00535,38,476.0,287.2,0.6033613445378151
C00536,56,785.3,302.2,0.3848210874824908
C00537,66,886.2,449.7,0.5074475287745429
C00538,50,705.5,533.5,0.7562012756909993
C00539,46,665.8,344.9,0.5180234304595974
C00540,55,752.1,169.6,0.225501927935115
C00541,47,662.0,183.9,0.27779456193353474
C00542,49,707.9,80.4,0.11357536375194238
C00543,45,655.6,156.4,0.23856009762050032
C00544,51,724.4,544.4,0.751518498067366
C00545,58,792.9,613.4,0.7736158405851936
C00546,43,628.1,362.1,0.5765005572361089
C00547,50,738.4,441.8,0.5983206933911159
C00548,45,619.6,90.4,0.1459005810200129
C00549,61,859.1,561.6,0.6537073681759982
C00550,49,718.5,348.7,0.48531663187195545
C00551,44,627.0,355.3,0.5666666666666667
C00552,77,1137.6,798.3,0.7017405063291139
C00553,44,643.2,545.7,0.8484141791044776
C00554,44,608.1,389.6,0.6406840980101957
C00555,49,720.2,447.2,0.6209386281588447
C00556,52,717.6,343.5,0.4786789297658863
C00557,47,609.1,420.3,0.6900344770973568
C00558,48,672.1,441.5,0.6568962951941675
C00559,42,628.6,434.90000000000003,0.6918549156856507
C00560,59,763.6,443.3,0.5805395495023572
C00561,50,729.1,574.6,0.7880949115347688
C00562,54,800.2,556.4,0.6953261684578854
C00563,45,632.9,495.3,0.7825880865855586
C00564,48,663.5,460.6,0.6941974378296911
C00565,41,546.9,254.5,0.46535015542146646
C00566,58,848.6,464.2,0.5470186189017204
C00567,38,513.5,198.3,0.3861733203505356
C00568,44,621.1,250.2,0.4028336821767831
C00569,46,599.6,478.5,0.798032021347565
C00570,51,710.1,367.7,0.5178143923391071
C00571,45,625.6,447.0,0.7145140664961637
C00572,52,755.3,526.5,0.6970740103270224
C00573,49,671.1,385.8,0.5748770675011176
C00574,60,831.4,436.6,0.5251383209044985
C00575,44,634.2,539.9,0.8513087354146955
C00576,46,670.2,355.0,0.5296926290659504
C00577,54,737.1,377.2,0.511735178401845
C00578,56,750.5,592.3,0.7892071952031978
C00579,38,553.8,376.3,0.6794871794871795
C00580,54,788.6,419.9,0.5324625919350747
C00581,43,548.8,331.90000000000003,0.6047740524781342
C00582,64,914.0,589.9,0.6454048140043763
C00583,57,844.6,525.6,0.6223064172389297
C00584,50,733.4,411.7,0.5613580583583311
C00585,51,707.1,413.5,0.5847829161363315
C00586,54,770.2,319.0,0.41417813554920796
C00587,42,567.6,267.3,0.47093023255813954
C00588,45,594.1,414.3,0.6973573472479381
C00589,53,756.2,579.4,0.7661994181433482
C00590,55,790.7,450.9,0.5702542051346907
C00591,60,854.2,492.2,0.5762116600327791
C00592,74,1098.5,795.6,0.7242603550295859
C00593,57,797.7,525.2,0.6583928795286449
C00594,44,603.6,313.4,0.5192180251822398
C00595,45,688.2,544.4,0.7910491136297587
C00596,50,717.6,501.6,0.6989966555183946
C00597,45,675.5,436.3,0.6458919319022947
C00598,54,742.5,372.9,0.5022222222222222
C00599,51,691.3,483.5,0.6994069145088964
C00600,44,612.7,342.9,0.5596539905337032
C00601,41,574.7,415.2,0.7224638942056725
C00602,61,818.1,394.0,0.48160371592714823
C00603,43,649.9,527.2,0.8112017233420528
C00604,51,739.7,400.9,0.5419764769501149
